country,year,iso_code,population,gdp,cement_co2,cement_co2_per_capita,co2,co2_growth_abs,co2_growth_prct,co2_per_capita,co2_per_gdp,co2_per_unit_energy,coal_co2,coal_co2_per_capita,consumption_co2,consumption_co2_per_capita,consumption_co2_per_gdp,cumulative_cement_co2,cumulative_co2,cumulative_coal_co2,cumulative_flaring_co2,cumulative_gas_co2,cumulative_oil_co2,cumulative_other_co2,energy_per_capita,energy_per_gdp,flaring_co2,flaring_co2_per_capita,gas_co2,gas_co2_per_capita,ghg_excluding_lucf_per_capita,ghg_per_capita,methane,methane_per_capita,nitrous_oxide,nitrous_oxide_per_capita,oil_co2,oil_co2_per_capita,other_co2_per_capita,other_industry_co2,primary_energy_consumption,share_global_cement_co2,share_global_co2,share_global_coal_co2,share_global_cumulative_cement_co2,share_global_cumulative_co2,share_global_cumulative_coal_co2,share_global_cumulative_flaring_co2,share_global_cumulative_gas_co2,share_global_cumulative_oil_co2,share_global_cumulative_other_co2,share_global_flaring_co2,share_global_gas_co2,share_global_oil_co2,share_global_other_co2,total_ghg,total_ghg_excluding_lucf,trade_co2,trade_co2_share
El Salvador,1950,SLV,2199903,4607025152.000,,,0.267,,,0.122,0.058,,,,,,,,0.267,,,,0.267,,,,,,,,,,,,,,0.267,0.122,,,,,0.000,,,0.000,,,,0.000,,,,0.020,,,,,
El Salvador,1951,SLV,2237778,4697814016.000,,,0.322,0.055,20.550,0.144,0.069,,,,,,,,0.590,,,,0.590,,,,,,,,,,,,,,0.322,0.144,,,,,0.010,,,0.000,,,,0.000,,,,0.020,,,,,
El Salvador,1952,SLV,2280443,5049962496.000,,,0.388,0.066,20.450,0.170,0.077,,,,,,,,0.978,,,,0.978,,,,,,,,,,,,,,0.388,0.170,,,,,0.010,,,0.000,,,,0.000,,,,0.020,,,,,
El Salvador,1953,SLV,2327374,5409458176.000,0.018,0.008,0.418,0.029,7.510,0.179,0.077,,,,,,,0.018,1.396,,,,1.378,,,,,,,,,,,,,,0.399,0.172,,,,0.020,0.010,,0.000,0.000,,,,0.000,,,,0.020,,,,,
El Salvador,1954,SLV,2378242,5474093056.000,0.025,0.011,0.469,0.051,12.270,0.197,0.086,,,,,,,0.044,1.865,,,,1.821,,,,,,,,,,,,,,0.443,0.186,,,,0.030,0.010,,0.000,0.000,,,,0.010,,,,0.020,,,,,
El Salvador,1955,SLV,2432877,5752750080.000,0.029,0.012,0.461,-0.007,-1.570,0.190,0.080,,,,,,,0.073,2.326,,,,2.253,,,,,,,,,,,,,,0.432,0.178,,,,0.030,0.010,,0.010,0.000,,,,0.010,,,,0.020,,,,,
El Salvador,1956,SLV,2491249,6208903680.000,0.033,0.013,0.527,0.066,14.290,0.212,0.085,,,,,,,0.105,2.853,,,,2.748,,,,,,,,,,,,,,0.495,0.199,,,,0.030,0.010,,0.010,0.000,,,,0.010,,,,0.020,,,,,
El Salvador,1957,SLV,2553506,6537358848.000,0.044,0.017,0.597,0.070,13.180,0.234,0.091,,,,,,,0.149,3.450,,,,3.301,,,,,,,,,,,,,,0.553,0.217,,,,0.040,0.010,,0.010,0.000,,,,0.010,,,,0.020,,,,,
El Salvador,1958,SLV,2619901,6679128064.000,0.044,0.017,0.597,0.000,0.000,0.228,0.089,,,,,,,0.193,4.047,,,,3.855,,,,,,,,,,,,,,0.553,0.211,,,,0.030,0.010,,0.010,0.000,,,,0.010,,,,0.020,,,,,
El Salvador,1959,SLV,2690747,6978779648.000,0.040,0.015,0.604,0.007,1.230,0.225,0.087,,,,,,,0.233,4.651,,,,4.419,,,,,,,,,,,,,,0.564,0.210,,,,0.030,0.010,,0.010,0.000,,,,0.010,,,,0.020,,,,,
El Salvador,1960,SLV,2766319,7261992960.000,0.044,0.016,0.619,0.015,2.420,0.224,0.085,,,,,,,0.276,5.270,,,,4.994,,,,,,,,,,,,,,0.575,0.208,,,,0.030,0.010,,0.010,0.000,,,,0.010,,,,0.020,,,,,
El Salvador,1961,SLV,2846601,7517508096.000,0.036,0.013,0.582,-0.037,-5.910,0.205,0.078,,,,,,,0.313,5.853,,,,5.540,,,,,,,,,,,,,,0.546,0.192,,,,0.020,0.010,,0.010,0.000,,,,0.010,,,,0.020,,,,,
